Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
ashleyjisel_,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
sbstn.c,0.01467645096731154,0.0,0.501841312353532,0.03705513459835492,0,22
drinkchamps,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
michaelrapino,0.00800533689126084,0.0,0.5010026737967914,0.024441106365407125,0,12
fariaspk,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
cardmagicbyjason,0.00266844563042028,0.0,0.5003337783711616,0.012512089449412293,0,4
huestipsbymarie,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
sidetalknyc,0.0066711140760507,0.0,0.500835282325426,0.02135569368132162,0,10
bluebc_dj,0.00400266844563042,0.0,0.5005008347245409,0.015724580423363416,0,6
memphisjookin,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
6umss,0.00266844563042028,0.0,0.5003337783711616,0.013031613783083394,0,4
klvdr,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
traversbeynonofficial,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
the_1990s_world,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
sethrogen,0.00400266844563042,0.0,0.5005008347245409,0.016830930556706557,0,6
gilligyn,0.01067378252168112,0.0,0.5013377926421405,0.029323841852498086,0,16
area_1unrulyguru,0.00400266844563042,0.0,0.5005008347245409,0.014862370303427496,0,6
photobyastral,0.01867911941294196,0.0,0.5023458445040214,0.043168960928581065,0,28
marleybleuberry,0.00133422281521014,0.0,0.5001668335001669,0.010024315652966093,0,2
hitkidd,0.00400266844563042,4.048497436612878e-08,0.5005008347245409,0.013100748084883497,0,6
nicobaran_,0.00533689126084056,0.0,0.5006680026720107,0.017216129442236265,0,8
5talen,0.00533689126084056,2.343866936986403e-08,0.5006680026720107,0.019251555708950673,0,8
