Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
josiananogueira,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
58letang,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
umusicchile,0.5577051367578385,0.23202899810372105,0.48417312661498707,0.10343810332334404,7,836
variety,0.09472981987991994,0.00046795587339860186,0.4127202643171806,0.06196585390090417,31,142
katcalvo67,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
strict__tempo,0.00266844563042028,0.0,0.3846548627149089,0.003338898912662456,2,4
camila_cabello,0.18145430286857903,0.001464126801113348,0.42225352112676057,0.1131010356714781,76,272
bbmas,0.03068712474983322,0.00019874170222800486,0.40187667560321716,0.01989265942058542,0,46
micaccaro,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
catieofferman,0.02535023348899266,1.0948329904958358e-05,0.39635113696456903,0.01447062043168974,7,38
musicweekinsta,0.06804536357571714,0.00026119643473003566,0.40524466071911325,0.042400539135494644,16,102
diegatb,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
gster_rock,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
blackpinkofficial,0.04136090727151434,0.00023548092200800967,0.41328921974083266,0.03163484799963189,0,62
babyface,0.06404269513008672,0.00012182780636179863,0.402848696586939,0.04598046502453747,28,96
kevinroldankr,0.00266844563042028,0.0,0.32686436982119493,0.0017387225121596277,0,4
ktmdawson97,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
shaq,0.0800533689126084,0.00034129853975659865,0.4064533622559653,0.04432482466179006,49,120
yahritza,0.022681787858572378,0.0002474585064722243,0.3957233368532207,0.012324226525638473,6,34
thecameronjwright,0.0266844563042028,3.3148151823736934e-05,0.392305679141586,0.0180323889233068,3,40
freddiemercury,0.0200133422281521,9.453736250103543e-06,0.3993074054342035,0.01482407386877932,12,30
davidbisbal,0.11207471647765176,0.0036566206863655904,0.4370262390670554,0.04795574851297294,14,168
htvmusica,0.00533689126084056,5.678281420494126e-06,0.3299581774158045,0.00329450879862737,0,8
itsduncanlaurence,0.11474316210807203,0.0004761560090353275,0.40744767599891274,0.07159879978883862,14,172
blackmusiccollective,0.03869246164109406,7.1442067893168e-05,0.39645596403067973,0.022455318328024446,8,58
suicidebitches,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
the1975,0.05203468979319546,0.0003746916993853201,0.41477587161040397,0.03456729871357842,0,78
dtbilardo,0.00266844563042028,0.0,0.32686436982119493,0.0017387225121596277,0,4
zedd,0.03869246164109406,0.0002920352422199356,0.4085581902425729,0.028461828912737012,0,58
arianaaaag,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
masego,0.04136090727151434,6.98127960407183e-05,0.4036079698438341,0.02503877134611336,31,62
dawglover74,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
capitalcities,0.00266844563042028,3.7618664801722707e-06,0.33010350143140277,0.002578046657006674,0,4
mimiinthesky_,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
metalinguistica_,0.00266844563042028,0.0,0.32722113075747655,0.0019979099027277623,0,4
rae_rae1972,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
fur_rory,0.06137424949966644,0.0001908635730804316,0.40080213903743317,0.03487481313877413,3,92
jmurray.visual,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
moju_music,0.0200133422281521,1.260562846624611e-05,0.3911795407098121,0.012744663172785671,2,30
celticpea59,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
defjamafricafr,0.00133422281521014,0.0,0.3845561826577732,0.0032707293220556083,1,2
alfakat__,0.00800533689126084,1.226694274463988e-05,0.3876389966382208,0.0067938678580660265,2,12
univision,0.01067378252168112,8.091582226469674e-05,0.3742821473158552,0.005146728951663584,0,16
paulinarubionews,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
fcsomosuno,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
rdhdiva2010,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
cozz,0.02401601067378252,1.59218920852217e-05,0.3985642116458389,0.014682244139894165,12,36
runawaywithjbj,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
fearlys97,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
rogierguitar,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
officialgogos,0.0200133422281521,6.195493554405388e-05,0.39036458333333335,0.011913060047817088,2,30
parkermccollum,0.045363575717144757,7.973387636745086e-05,0.3987762702846502,0.02372919929517436,16,68
maroon5,0.0400266844563042,0.00013232488044522456,0.40978676872607983,0.03262341812878929,0,60
sadlervaden,0.03602401601067378,0.00021860422653258952,0.3953059071729958,0.016625969999071413,11,54
universalmusicitalia,0.22548365577051366,0.021193969410345043,0.49035001635590447,0.11101457027384752,9,338
iheartcountry,0.0400266844563042,0.00026077249694194434,0.39952025586353945,0.01704836314290212,13,60
calibustos,0.00266844563042028,0.0,0.32722113075747655,0.0019979099027277623,0,4
californiarepublicans,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
diespitz,0.01067378252168112,4.6791774400597424e-06,0.3888456549935149,0.006562711407452933,6,16
universalmusica,0.03468979319546364,0.0001338336600259094,0.40187667560321716,0.02057312605392414,0,52
adrianapy04,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
